Lif,Pow,Int,Ski,Spd,Def
0,9,12,0,0,11
12,11,0,9,0,0
0,9,0,11,12,0
12,11,0,9,0,0
12,9,0,11,0,0
0,0,0,9,12,11
12,0,0,11,0,9
0,0,0,9,12,11
0,11,12,0,0,9
12,9,0,0,0,11
0,11,0,0,12,9
0,11,0,9,12,0
0,9,12,11,0,0
0,0,0,11,12,9
0,0,12,9,0,11
0,0,0,11,12,9
0,9,12,0,0,11
0,11,12,0,0,9
0,9,0,0,12,11
0,11,12,9,0,0
12,9,0,11,0,0
10,0,0,9,12,0
12,9,0,0,10,0
12,9,10,0,0,0
10,9,12,0,0,0
12,0,10,9,0,0
0,9,12,0,10,0
0,0,10,0,12,9
0,0,12,9,10,0
10,9,0,0,12,0
12,0,0,0,10,9
10,9,0,0,12,0
12,0,0,0,10,9
10,0,12,9,0,0
12,9,10,0,0,0
10,0,12,0,0,9
0,0,10,9,12,0
0,0,12,0,10,9
0,0,10,0,12,9
10,0,0,0,12,9
12,0,0,9,10,0
12,0,0,11,6,0
6,11,12,0,0,0
12,0,6,0,0,11
6,11,12,0,0,0
0,0,6,0,12,11
0,0,12,0,6,11
0,11,6,0,12,0
0,0,12,0,6,11
6,0,0,11,12,0
12,11,0,0,6,0
6,0,0,0,12,11
12,0,6,11,0,0
6,0,12,0,0,11
12,0,6,11,0,0
0,0,6,0,12,11
0,0,12,11,6,0
12,0,0,11,6,0
6,0,0,11,12,0
12,0,0,0,6,11
6,0,12,11,0,0
12,11,6,0,0,0
0,7,10,0,0,9
10,9,0,0,0,7
0,7,10,0,0,9
10,9,0,7,0,0
10,7,0,9,0,0
0,9,10,7,0,0
10,0,0,9,0,7
0,0,0,7,10,9
0,0,10,9,0,7
10,0,0,7,0,9
0,9,0,0,10,7
10,7,0,0,0,9
0,9,0,0,10,7
0,7,10,9,0,0
10,9,0,7,0,0
0,7,0,9,10,0
0,0,0,9,10,7
0,0,0,7,10,9
0,7,0,0,10,9
0,9,10,0,0,7
0,0,10,0,8,7
0,0,8,7,10,0
10,7,0,0,8,0
8,0,0,7,10,0
10,0,0,7,8,0
10,0,8,7,0,0
8,7,10,0,0,0
0,0,10,7,8,0
0,7,8,0,10,0
0,0,10,7,8,0
8,7,0,0,10,0
10,0,0,0,8,7
8,0,0,7,10,0
10,7,0,0,8,0
8,0,10,0,0,7
10,7,8,0,0,0
8,7,10,0,0,0
0,0,8,0,10,7
0,7,10,0,8,0
0,0,8,0,10,7
6,5,0,11,0,0
0,11,0,5,6,0
0,0,6,11,0,5
0,0,0,5,6,11
0,0,0,11,6,5
0,5,6,0,0,11
0,11,0,0,6,5
0,5,6,0,0,11
0,5,0,11,6,0
0,11,6,5,0,0
0,5,0,11,6,0
0,0,6,5,0,11
6,0,0,11,0,5
0,0,0,5,6,11
0,11,6,0,0,5
6,5,0,0,0,11
0,11,6,0,0,5
0,5,6,0,0,11
6,11,0,5,0,0
0,5,6,11,0,0
6,11,0,5,0,0
0,0,0,11,6,5
0,0,0,7,8,5
0,0,8,5,0,7
0,5,8,0,0,7
0,7,8,0,0,5
0,7,8,5,0,0
8,5,0,7,0,0
0,7,0,5,8,0
0,0,8,7,0,5
8,0,0,5,0,7
0,0,8,7,0,5
8,5,0,0,0,7
0,7,0,0,8,5
0,5,8,0,0,7
8,7,0,0,0,5
0,5,0,7,8,0
8,7,0,5,0,0
8,5,0,7,0,0
8,0,0,7,0,5
0,0,0,5,8,7
8,5,6,0,0,0
0,0,8,0,6,5
0,0,6,5,8,0
0,0,8,0,6,5
0,0,6,0,8,5
8,0,0,5,6,0
6,0,0,0,8,5
8,0,0,5,6,0
8,0,6,0,0,5
6,0,8,5,0,0
0,0,8,5,6,0
0,5,6,0,8,0
0,0,8,0,6,5
6,0,0,5,8,0
8,5,0,0,6,0
6,0,0,5,8,0
8,5,6,0,0,0
6,5,8,0,0,0
8,0,6,5,0,0
6,5,8,0,0,0
0,0,6,0,8,5
