Lif,Pow,Int,Ski,Spd,Def
16,13,16,0,0,0
16,0,14,15,0,0
0,0,16,0,14,15
0,13,16,0,0,15
0,0,0,15,14,15
14,15,0,0,14,0
16,0,16,0,0,11
16,0,0,13,14,0
0,0,16,0,12,15
16,0,0,15,12,0
0,13,0,13,16,0
0,15,0,15,12,0
0,13,0,0,14,15
0,0,16,15,0,11
16,15,0,0,0,11
14,0,0,11,16,0
0,13,14,0,14,0
14,0,12,15,0,0
0,15,10,0,16,0
10,0,0,0,16,15
0,11,16,0,0,13
14,15,0,11,0,0
0,0,0,9,16,15
0,9,16,0,0,15
12,0,0,13,0,15
0,0,0,13,12,15
0,11,0,0,14,15
0,0,14,0,16,9
0,0,14,15,10,0
12,0,0,11,16,0
12,11,16,0,0,0
0,0,16,0,10,13
14,0,0,13,12,0
14,0,0,13,12,0
16,13,10,0,0,0
14,15,10,0,0,0
16,15,8,0,0,0
16,0,0,7,16,0
12,11,0,0,0,15
0,11,0,15,12,0
0,0,14,15,0,9
14,15,0,0,0,9
0,0,0,15,10,13
16,13,0,0,0,9
0,15,0,7,16,0
0,13,12,0,0,13
0,15,8,0,0,15
16,0,12,0,0,9
8,0,0,0,14,15
0,0,10,11,16,0
12,11,0,0,14,0
0,7,14,0,16,0
8,13,0,0,16,0
12,0,12,0,0,13
0,0,8,13,16,0
0,0,14,9,14,0
0,0,8,0,14,15
0,15,8,0,0,13
0,15,10,11,0,0
0,0,12,9,0,15
12,0,0,11,0,13
0,15,0,0,14,7
0,13,14,9,0,0
0,9,0,0,14,13
0,7,14,15,0,0
14,0,0,11,0,11
10,0,0,9,16,0
10,9,16,0,0,0
0,0,12,0,8,15
0,0,14,0,10,11
0,0,16,0,8,11
0,0,14,0,8,13
12,0,0,13,10,0
10,0,0,15,10,0
12,0,12,11,0,0
0,11,16,0,8,0
14,0,14,7,0,0
0,0,0,11,16,7
0,9,0,13,12,0
0,0,12,15,0,7
8,13,0,13,0,0
0,9,14,0,0,11
10,13,0,11,0,0
0,9,0,0,12,13
0,11,0,9,14,0
0,0,0,13,10,11
0,9,16,0,0,9
12,11,0,11,0,0
0,0,0,15,12,7
14,7,0,13,0,0
0,0,0,13,14,7
10,9,0,15,0,0
0,0,0,15,10,9
12,9,0,0,12,0
8,0,16,0,0,9
0,0,12,0,10,11
14,0,0,11,8,0
0,0,8,9,16,0
12,9,0,0,12,0
10,11,0,0,12,0
0,0,10,0,10,13
14,0,10,0,0,9
8,15,10,0,0,0
16,7,10,0,0,0
0,0,12,0,14,7
0,0,12,11,0,9
0,13,10,9,0,0
10,0,0,7,0,15
0,11,0,0,10,11
12,9,0,0,0,11
8,13,0,0,0,11
0,11,14,7,0,0
14,0,0,7,0,11
0,7,0,9,16,0
8,15,0,9,0,0
8,9,14,0,0,0
0,0,12,0,10,9
8,15,8,0,0,0
10,11,10,0,0,0
0,7,12,0,12,0
8,0,0,0,16,7
8,9,0,0,14,0
8,0,12,11,0,0
10,0,0,0,14,7
10,0,14,7,0,0
10,13,0,0,8,0
12,0,0,0,8,11
16,7,0,7,0,0
12,9,0,9,0,0
0,0,0,11,8,11
0,7,8,0,0,15
0,7,14,0,0,9
0,0,0,7,10,13
0,7,10,0,0,13
0,7,12,11,0,0
0,11,12,0,0,7
0,9,14,7,0,0
0,11,10,0,0,9
8,0,0,13,8,0
0,0,12,9,8,0
0,0,8,11,10,0
12,9,8,0,0,0
8,0,0,0,10,11
0,0,10,0,12,7
0,0,0,13,8,7
0,0,12,7,0,9
0,13,0,7,8,0
10,11,0,7,0,0
0,7,12,0,0,9
0,0,0,9,8,11
8,0,12,7,0,0
0,0,10,9,8,0
8,0,0,0,8,11
8,7,0,11,0,0
10,0,0,9,0,7
0,7,0,0,12,7
10,0,8,7,0,0
8,0,0,9,8,0
10,7,8,0,0,0
8,9,0,7,0,0
0,7,10,0,0,7
8,9,0,7,0,0
0,0,8,0,8,7
0,0,8,7,0,7
